,Product Name,Reviews,Key Ingredients,Category,Tokens,Product_Sentiments
86,Tea Tree Facewash for acne & pimples,For baby skin that constantly flaked and dry this is a lifesaver. Love it.,['Neem ' 'Aloe Vera ' 'Tea Tree Oil '],['Face Wash'],['tea' 'tree' 'facewash' 'acne' 'pimple'],"{'tea': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'facewash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'acne': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'pimple': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Neem ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Aloe Vera ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Facewash for acne & pimples': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 0}}"
87,Anti Hair Fall Kit for complete hair care,With changing weather I tend to get itchy and dry scalp with leads to dandruff. Mamaearth happy heads shampoo is great for controlling it.,['Bhringraj Oil ' 'Biotin ' 'All hair type  The kit is suitable for all hair type'],['Hair Kit'],['anti' 'hair' 'fall' 'kit' 'complete' 'hair' 'care'],"{'anti': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'complete': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'care': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Bhringraj Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Biotin ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'All hair type  The kit is suitable for all hair type': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Anti Hair Fall Kit for complete hair care': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 1, 'Neutral': 0}}"
88,Argan Hair Mask with Argan Avocado Oil and Milk Protein for Frizzfree & Stronger Hair â€“,It is the best charcoal face mask i have ever used. The best product by far for acne and dry skin. It really helped my skinnto glow naturally,['Argan Oil '],['Hair Oil'],['argan' 'hair' 'mask' 'argan' 'avocado' 'oil' 'milk' 'protein' 'frizz' 'free' 'strong' 'hair'],"{'argan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'mask': {'Positive': 1, 'Negative': 0, 'Neutral': 0}, 'avocado': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'milk': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'protein': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'frizz': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'free': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'strong': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Argan Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Argan Hair Mask with Argan Avocado Oil and Milk Protein for Frizzfree & Stronger Hair â€“': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 1}}"
89,Apple Cider Vinegar Foaming Face Wash with Apple Cider Vinegar & Aloe Vera Water for Deep Cleansing â€“,This is a best nourishing soap for my baby skin when I use it. I recommend to all to use it,['Apple Cider Vinegar' 'Aloe Vera Water' 'Cucumber' 'Neem'],['Face Wash'],['apple' 'cider' 'vinegar' 'foaming' 'face' 'wash' 'apple' 'cider' 'vinegar' 'aloe' 'vera' 'water' 'deep' 'cleansing'],"{'apple': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'cider': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'foaming': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'aloe': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'vera': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'water': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'deep': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'cleansing': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Apple Cider Vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Aloe Vera Water': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Cucumber': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Neem': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Apple Cider Vinegar Foaming Face Wash with Apple Cider Vinegar & Aloe Vera Water for Deep Cleansing â€“': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 0}}"
90,Ubtan Foaming Face Wash with Turmeric & Saffron for Tan Removal â€“,For oily skin I have had difficulty finding a mask that suits my skin. Most masks leave my skin feeling oilier than before. But not Hyaluronic bamboo sheet mask as it draws out excess oil and makes my skin feel cleansed and fresh.,['Turmeric' 'Saffron' 'Neem Oil' 'Aloe Vera'],['Face Wash'],['ubtan' 'foam' 'face' 'wash' 'turmeric' 'saffron' 'tan' 'removal'],"{'ubtan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'foam': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'saffron': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'removal': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Saffron': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Neem Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Aloe Vera': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Ubtan Foaming Face Wash with Turmeric & Saffron for Tan Removal â€“': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 1, 'Neutral': 1}}"
91,Tea Tree Body Wash With Tea Tree & Neem For Skin Purification Pac,I like all product. Very good quality and customer service,['Tea Tree' 'Neem' 'Oat Amino Acids' 'Glycerin'],['Body Wash'],['tea' 'tree' 'body' 'wash' 'tea' 'tree' 'neem' 'skin' 'purification' 'pac'],"{'tea': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'body': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'neem': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'purification': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'pac': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Neem': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Oat Amino Acids': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Glycerin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Body Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Body Wash With Tea Tree & Neem For Skin Purification Pac': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 0}}"
93,CoCo Body Wash With Coffee & Cocoa For Skin Awakening ,I like this product,['Coffee' 'Cocoa' 'Oat Amino Acids' 'Glycerin'],['Body Wash'],['coco' 'body' 'wash' 'coffee' 'cocoa' 'skin' 'awakening'],"{'coco': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'body': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'coffee': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'cocoa': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'awakening': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Coffee': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Cocoa': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Oat Amino Acids': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Glycerin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Body Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'CoCo Body Wash With Coffee & Cocoa For Skin Awakening ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
94,Vitamin C Body Wash with Vitamin C & Honey for Skin Illumination  Pac,It's really good...Must buy,['Vitamin C' 'Honey' 'Oat Amino Acids' 'Glycerin'],['Body Wash'],['vitamin' 'c' 'body' 'wash' 'vitamin' 'c' 'honey' 'skin' 'illumination' 'pac'],"{'vitamin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'c': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'body': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'honey': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'illumination': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'pac': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Honey': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Oat Amino Acids': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Glycerin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Body Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C Body Wash with Vitamin C & Honey for Skin Illumination  Pac': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 0, 'Negative': 0, 'Neutral': 1}}"
96,Rice Water Shampoo With Rice Water and Keratin For Damage Repair â€“,Best vitamin c face wash for sensitive skin. It is very light and gentle. It does not leave skin dry and after wash my skin looks bright!,['Fermented Rice Water' 'Keratin' 'Wheat Protein'],['NA'],['rice' 'water' 'shampoo' 'rice' 'water' 'keratin' 'damage' 'repair'],"{'rice': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'water': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'keratin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'damage': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'repair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Fermented Rice Water': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Keratin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Wheat Protein': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Rice Water Shampoo With Rice Water and Keratin For Damage Repair â€“': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 3, 'Negative': 0, 'Neutral': 0}}"
97,Rice Hair Oil with Rice Bran & Coconut Oil For Damage Repair â€“,V useful combo .both products gives good effect on skin ...I had hyper pigmentation and bye bye blemishes cream worked well fr me . It's hydrating n gives moisturising effect. Clearing my black spots .ubtan face wash also cleans the blackness on face . Overall I m happy with the results,[],['Hair Oil'],['rice' 'hair' 'oil' 'rice' 'bran' 'coconut' 'oil' 'damage' 'repair'],"{'rice': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'bran': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'coconut': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'damage': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'repair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Rice Hair Oil with Rice Bran & Coconut Oil For Damage Repair â€“': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 2}}"
98,Rice Water Conditioner with Rice Water & Keratin for Damaged Dry and Frizzy Hair  ,My favorite facewash has to be Mamaearth tea tree face scrub. It is so nice for my skin. Very refreshing and smells great too.,['Fermented Rice Water' 'Keratin' 'Coconut Oil'],['NA'],['rice' 'water' 'conditioner' 'rice' 'water' 'keratin' 'damaged' 'dry' 'frizzy' 'hair'],"{'rice': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'water': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'conditioner': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'keratin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'damaged': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'dry': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'frizzy': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Fermented Rice Water': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Keratin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Coconut Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Rice Water Conditioner with Rice Water & Keratin for Damaged Dry and Frizzy Hair  ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 3, 'Negative': 0, 'Neutral': 0}}"
100,Ubtan Body Wash With Turmeric & Saffron for Glowing Skin ,I love it my family loves it and my friends love it! It helped grow my hair and also controlled hair fall to a great extent!,['Turmeric'],['Body Wash'],['ubtan' 'body' 'wash' 'turmeric' 'saffron' 'glowing' 'skin'],"{'ubtan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'body': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'saffron': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'glowing': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Body Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Ubtan Body Wash With Turmeric & Saffron for Glowing Skin ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 0}}"
101,CoCo Body Wash With Coffee & Cocoa For Skin Awakening ,Absolutely in love with this amazing face mask with pure ubtan. Now no more acne on my face and tan is also gone! Highly recommend!,['Coffee' 'Cocoa'],['Body Wash'],['coco' 'body' 'wash' 'coffee' 'cocoa' 'skin' 'awakening'],"{'coco': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'body': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'coffee': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'cocoa': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'awakening': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Coffee': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Cocoa': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Body Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'CoCo Body Wash With Coffee & Cocoa For Skin Awakening ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 1, 'Neutral': 0}}"
103,Vitamin C Body Wash with Vitamin C & Honey for Skin Illumination ,à®‡à®¤à¯ à®’à®°à¯ à®¨à®²à¯à®² à®¤à®¯à®¾à®°à®¿à®ªà¯à®ªà¯ à®¨à®¾à®™à¯à®•à®³à¯ à®…à®¤à¯ˆ à®šà¯†à®¯à¯à®¤à¯à®³à¯à®³à¯‹à®®à¯ à®…à®¤à¯ˆà®ªà¯ à®ªà®¯à®©à¯à®ªà®Ÿà¯à®¤à¯à®¤ à®®à¯à®¯à®±à¯à®šà®¿à®•à¯à®•à®µà¯à®®à¯.,['Vitamin C'],['Body Wash'],['vitamin' 'c' 'body' 'wash' 'vitamin' 'c' 'honey' 'skin' 'illumination'],"{'vitamin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'c': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'body': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'honey': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'illumination': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Body Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C Body Wash with Vitamin C & Honey for Skin Illumination ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 0, 'Negative': 0, 'Neutral': 1}}"
104,Retinol Night Cream For Women with Retinol & Bakuchi for Anti Aging Fine Lines and Wrinkles ,Very very good Product....I love it...very good quality,['Retinol'],['NA'],['retinol' 'night' 'cream' 'women' 'retinol' 'bakuchi' 'anti' 'aging' 'fine' 'lines' 'wrinkles'],"{'retinol': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'night': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'cream': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'women': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'bakuchi': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'anti': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'aging': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fine': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'lines': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wrinkles': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Retinol': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Retinol Night Cream For Women with Retinol & Bakuchi for Anti Aging Fine Lines and Wrinkles ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
105,Retinol Face Wash with Retinol & Bakuchi for Fine Lines and Wrinkles ,Okayish product. To be very honest it's not moisturizing at all especially for dry skin people. But the ingredients are quite impressive.,['Retinol'],['Face Wash'],['retinol' 'face' 'wash' 'retinol' 'bakuchi' 'fine' 'lines' 'wrinkles'],"{'retinol': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'bakuchi': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fine': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'lines': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wrinkles': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Retinol': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Retinol Face Wash with Retinol & Bakuchi for Fine Lines and Wrinkles ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 1}}"
106,Niacin Face Toner with Niacinamide & Witch Hazel for Acne and Open Pores  ,Wow what an amazing product! Smells awesome. It is very light and so spreads and absorbs within the skin easily. It keeps your skin moisturized through out the day. The pump system is an added plus point. Also the bottle shape is cute. I love that it has olive oil in it which helps keep the skin supple.,['Niacinamide'],['NA'],['niacin' 'face' 'toner' 'niacinamide' 'witch' 'hazel' 'acne' 'open' 'pores'],"{'niacin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'toner': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'niacinamide': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'witch': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hazel': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'acne': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'open': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'pores': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Niacinamide': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Niacin Face Toner with Niacinamide & Witch Hazel for Acne and Open Pores  ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 5, 'Negative': 0, 'Neutral': 2}}"
107,Tea Tree Foaming Face Wash with Tea Tree & Salicylic Acid for Acne & Pimples â€“,This toothpaste are best and favourite toothpaste of my son...its made of natural ingredients and safe for kids teeth ..my son is very happy because toothpaste flavour are fruits ..he is brushing twice a day regularly.. thank you mamaearth,['Tea Tree'],['Face Wash'],['tea' 'tree' 'foaming' 'face' 'wash' 'tea' 'tree' 'salicylic' 'acid' 'acne' 'pimples'],"{'tea': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'foaming': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'salicylic': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'acid': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'acne': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'pimples': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Foaming Face Wash with Tea Tree & Salicylic Acid for Acne & Pimples â€“': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
108,Tea Tree Face Serum,Mamaearth vitaminC foaming facewash is an amazing product. It makes my skin so clear and soft. Love it. MUST TRY!,['Tea Tree Oil'],['Face Cream'],['tea' 'tree' 'face' 'serum'],"{'tea': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 1, 'Negative': 0, 'Neutral': 0}, 'serum': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Cream': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Face Serum': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 3, 'Negative': 0, 'Neutral': 1}}"
109,Retinol Face Serum,Nice product and amazing results,['Retinol'],['Face Cream'],['retinol' 'face' 'serum'],"{'retinol': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'serum': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Retinol': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Cream': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Retinol Face Serum': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
110,Complete Skin Glow Kit,Superb Product... Must buy!,['Cucumber Extract'],['Body Kit'],['complete' 'skin' 'glow' 'kit'],"{'complete': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'glow': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Cucumber Extract': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Body Kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Complete Skin Glow Kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
111,Coco Intense Skin Awakening Kit,When it doubt get this vitamin c hand cream as it has shea butter which is very moisturizing and vitamin c protects from sun burn. It also helps kill germs which is a huge plus!,[],['Body Kit'],['coco' 'intense' 'skin' 'awakening' 'kit'],"{'coco': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'intense': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'awakening': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Body Kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Coco Intense Skin Awakening Kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 1, 'Neutral': 0}}"
112,Vitamin C Radiance Combo,The best product I have ever used...specially the Onion oil ...makes my hair so soft nd smooth...I recommend this hair fall kit to everyone who have been suffer from intense hair fall...so yeah!!go for it.,['Vitamin C'],['NA'],['vitamin' 'c' 'radiance' 'combo'],"{'vitamin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'c': {'Positive': 1, 'Negative': 0, 'Neutral': 0}, 'radiance': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'combo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C Radiance Combo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 1}}"
